date,fronts_700,fronts_850,anticyclone,cyclone,wcb
1986-01-15,1.0,1.0,1.0,1.0,1.0
1986-01-29,1.0,1.0,1.0,1.0,1.0
1986-02-08,1.0,1.0,1.0,0.0,1.0
1986-02-13,1.0,1.0,1.0,1.0,1.0
1986-02-14,1.0,1.0,1.0,0.0,1.0
1986-02-17,1.0,1.0,1.0,1.0,1.0
1986-03-06,1.0,1.0,1.0,0.0,1.0
1986-03-07,1.0,1.0,1.0,1.0,1.0
1986-03-20,1.0,1.0,1.0,0.0,1.0
1986-04-04,1.0,1.0,1.0,1.0,1.0
1987-01-16,1.0,1.0,1.0,1.0,1.0
1987-01-31,1.0,1.0,1.0,0.0,1.0
1987-02-02,1.0,1.0,1.0,0.0,1.0
1987-02-07,1.0,1.0,1.0,1.0,1.0
1987-02-14,1.0,1.0,1.0,1.0,1.0
1987-12-31,1.0,1.0,1.0,0.0,1.0
1988-01-12,1.0,1.0,1.0,0.0,1.0
1988-01-15,1.0,1.0,1.0,1.0,1.0
1988-03-03,1.0,1.0,1.0,0.0,1.0
1990-01-03,1.0,1.0,0.0,1.0,1.0
1990-01-23,1.0,1.0,1.0,0.0,1.0
1990-01-30,1.0,1.0,1.0,1.0,1.0
1990-03-27,1.0,1.0,1.0,0.0,1.0
1991-01-02,1.0,1.0,1.0,0.0,1.0
1991-01-11,1.0,1.0,1.0,1.0,1.0
1991-01-30,1.0,1.0,1.0,0.0,1.0
1991-02-03,1.0,1.0,1.0,0.0,1.0
1991-02-25,1.0,1.0,1.0,0.0,1.0
1991-03-07,1.0,1.0,1.0,0.0,1.0
1992-01-20,1.0,1.0,1.0,1.0,1.0
1992-01-22,1.0,1.0,1.0,1.0,1.0
1992-02-17,1.0,1.0,1.0,1.0,1.0
1994-12-06,1.0,1.0,1.0,1.0,1.0
1994-12-07,1.0,1.0,1.0,1.0,1.0
1994-12-12,1.0,1.0,1.0,0.0,1.0
1994-12-28,1.0,1.0,1.0,1.0,1.0
1995-02-25,1.0,1.0,1.0,0.0,1.0
1995-02-26,1.0,1.0,1.0,0.0,1.0
1995-12-28,1.0,1.0,1.0,0.0,1.0
1997-01-05,1.0,1.0,1.0,0.0,1.0
1997-01-13,1.0,1.0,1.0,1.0,1.0
1997-01-14,1.0,1.0,1.0,1.0,1.0
1997-01-15,1.0,1.0,0.0,0.0,1.0
1997-01-20,1.0,1.0,1.0,0.0,1.0
1997-02-08,1.0,1.0,1.0,1.0,1.0
1997-02-18,1.0,1.0,1.0,0.0,1.0
1997-02-20,1.0,1.0,1.0,1.0,1.0
1997-02-21,1.0,1.0,1.0,1.0,1.0
1997-02-24,1.0,1.0,1.0,0.0,1.0
1998-01-01,1.0,1.0,1.0,1.0,1.0
1998-01-14,1.0,1.0,1.0,0.0,1.0
1998-01-16,1.0,1.0,1.0,0.0,1.0
1998-01-17,1.0,1.0,1.0,1.0,1.0
1998-01-25,1.0,1.0,1.0,1.0,1.0
1998-02-02,1.0,1.0,1.0,1.0,1.0
1998-02-26,1.0,1.0,1.0,1.0,1.0
1998-03-11,1.0,1.0,1.0,1.0,1.0
1998-03-12,1.0,1.0,1.0,1.0,1.0
1998-03-22,1.0,1.0,1.0,1.0,1.0
1998-12-11,1.0,1.0,1.0,0.0,1.0
1998-12-12,1.0,1.0,1.0,1.0,1.0
1999-12-15,1.0,1.0,1.0,1.0,1.0
2000-01-18,1.0,1.0,1.0,1.0,1.0
2000-02-04,1.0,1.0,1.0,0.0,1.0
2000-02-10,1.0,1.0,1.0,1.0,1.0
2000-02-19,1.0,1.0,1.0,1.0,1.0
2000-12-21,1.0,1.0,1.0,0.0,1.0
2001-01-02,1.0,1.0,1.0,0.0,1.0
2001-01-04,1.0,1.0,1.0,1.0,1.0
2001-01-11,1.0,1.0,1.0,1.0,1.0
2001-01-14,1.0,1.0,1.0,1.0,1.0
2001-01-20,1.0,1.0,1.0,0.0,1.0
